admin2,region
ACEH BARAT,SUMATRA
ACEH BARAT DAYA,SUMATRA
ACEH BESAR,SUMATRA
ACEH JAYA,SUMATRA
ACEH SELATAN,SUMATRA
ACEH SINGKIL,SUMATRA
ACEH TAMIANG,SUMATRA
ACEH TENGAH,SUMATRA
ACEH TENGGARA,SUMATRA
ACEH TIMUR,SUMATRA
ACEH UTARA,SUMATRA
AGAM,SUMATRA
ALOR,NUSA TENGGARA
ASAHAN,SUMATRA
ASMAT,PAPUA
BADUNG,JAVA & BALI
BALANGAN,KALIMANTAN
BANDUNG,JAVA & BALI
BANDUNG BARAT,JAVA & BALI
BANGGAI,SULAWESI
BANGGAI KEPULAUAN,SULAWESI
BANGGAI LAUT,SULAWESI
BANGKA,SUMATRA
BANGKA BARAT,SUMATRA
BANGKA SELATAN,SUMATRA
BANGKA TENGAH,SUMATRA
BANGKALAN,JAVA & BALI
BANGLI,JAVA & BALI
BANJAR,KALIMANTAN
BANJARNEGARA,JAVA & BALI
BANTAENG,SULAWESI
BANTUL,JAVA & BALI
BANYU ASIN,SUMATRA
BANYUMAS,JAVA & BALI
BANYUWANGI,JAVA & BALI
BARITO KUALA,KALIMANTAN
BARITO SELATAN,KALIMANTAN
BARITO TIMUR,KALIMANTAN
BARITO UTARA,KALIMANTAN
BARRU,SULAWESI
BATANG,JAVA & BALI
BATANG HARI,SUMATRA
BATU BARA,SUMATRA
BEKASI,JAVA & BALI
BELITUNG,SUMATRA
BELITUNG TIMUR,SUMATRA
BELU,NUSA TENGGARA
BENER MERIAH,SUMATRA
BENGKALIS,SUMATRA
BENGKAYANG,KALIMANTAN
BENGKULU SELATAN,SUMATRA
BENGKULU TENGAH,SUMATRA
BENGKULU UTARA,SUMATRA
BERAU,KALIMANTAN
BIAK NUMFOR,PAPUA
BIMA,NUSA TENGGARA
BINTAN,SUMATRA
BIREUEN,SUMATRA
BLITAR,JAVA & BALI
BLORA,JAVA & BALI
BOALEMO,SULAWESI
BOGOR,JAVA & BALI
BOJONEGORO,JAVA & BALI
BOLAANG MONGONDOW,SULAWESI
BOLAANG MONGONDOW SELATAN,SULAWESI
BOLAANG MONGONDOW TIMUR,SULAWESI
BOLAANG MONGONDOW UTARA,SULAWESI
BOMBANA,SULAWESI
BONDOWOSO,JAVA & BALI
BONE,SULAWESI
BONE BOLANGO,SULAWESI
BOVEN DIGOEL,PAPUA
BOYOLALI,JAVA & BALI
BREBES,JAVA & BALI
BULELENG,JAVA & BALI
BULUKUMBA,SULAWESI
BULUNGAN,KALIMANTAN
BUNGO,SUMATRA
BUOL,SULAWESI
BURU,MALUKU
BURU SELATAN,MALUKU
BUTON,SULAWESI
BUTON SELATAN,SULAWESI
BUTON TENGAH,SULAWESI
BUTON UTARA,SULAWESI
CIAMIS,JAVA & BALI
CIANJUR,JAVA & BALI
CILACAP,JAVA & BALI
CIREBON,JAVA & BALI
DAIRI,SUMATRA
DEIYAI,PAPUA
DELI SERDANG,SUMATRA
DEMAK,JAVA & BALI
DHARMASRAYA,SUMATRA
DOGIYAI,PAPUA
DOMPU,NUSA TENGGARA
DONGGALA,SULAWESI
EMPAT LAWANG,SUMATRA
ENDE,NUSA TENGGARA
ENREKANG,SULAWESI
FAKFAK,PAPUA
FLORES TIMUR,NUSA TENGGARA
GARUT,JAVA & BALI
GAYO LUES,SUMATRA
GIANYAR,JAVA & BALI
GORONTALO,SULAWESI
GORONTALO UTARA,SULAWESI
GOWA,SULAWESI
GRESIK,JAVA & BALI
GROBOGAN,JAVA & BALI
GUNUNG KIDUL,JAVA & BALI
GUNUNG MAS,KALIMANTAN
HALMAHERA BARAT,MALUKU
HALMAHERA SELATAN,MALUKU
HALMAHERA TENGAH,MALUKU
HALMAHERA TIMUR,MALUKU
HALMAHERA UTARA,MALUKU
HULU SUNGAI SELATAN,KALIMANTAN
HULU SUNGAI TENGAH,KALIMANTAN
HULU SUNGAI UTARA,KALIMANTAN
HUMBANG HASUNDUTAN,SUMATRA
INDRAGIRI HILIR,SUMATRA
INDRAGIRI HULU,SUMATRA
INDRAMAYU,JAVA & BALI
INTAN JAYA,PAPUA
JAYAPURA,PAPUA
JAYAWIJAYA,PAPUA
JEMBER,JAVA & BALI
JEMBRANA,JAVA & BALI
JENEPONTO,SULAWESI
JEPARA,JAVA & BALI
JOMBANG,JAVA & BALI
KAIMANA,PAPUA
KAMPAR,SUMATRA
KAPUAS,KALIMANTAN
KAPUAS HULU,KALIMANTAN
KARANG ASEM,JAVA & BALI
KARANGANYAR,JAVA & BALI
KARAWANG,JAVA & BALI
KARIMUN,SUMATRA
KARO,SUMATRA
KATINGAN,KALIMANTAN
KAUR,SUMATRA
KAYONG UTARA,KALIMANTAN
KEBUMEN,JAVA & BALI
KEDIRI,JAVA & BALI
KEEROM,PAPUA
KENDAL,JAVA & BALI
KEPAHIANG,SUMATRA
KEPULAUAN ANAMBAS,SUMATRA
KEPULAUAN ARU,MALUKU
KEPULAUAN MENTAWAI,SUMATRA
KEPULAUAN MERANTI,SUMATRA
KEPULAUAN SANGIHE,SULAWESI
KEPULAUAN SELAYAR,SULAWESI
KEPULAUAN SULA,MALUKU
KEPULAUAN TALAUD,SULAWESI
KEPULAUAN YAPEN,PAPUA
KERINCI,SUMATRA
KETAPANG,KALIMANTAN
KLATEN,JAVA & BALI
KLUNGKUNG,JAVA & BALI
KOLAKA,SULAWESI
KOLAKA TIMUR,SULAWESI
KOLAKA UTARA,SULAWESI
KONAWE,SULAWESI
KONAWE KEPULAUAN,SULAWESI
KONAWE SELATAN,SULAWESI
KONAWE UTARA,SULAWESI
KOTA AMBON,MALUKU
KOTA BALIKPAPAN,KALIMANTAN
KOTA BANDA ACEH,SUMATRA
KOTA BANDAR LAMPUNG,SUMATRA
KOTA BANDUNG,JAVA & BALI
KOTA BANJAR,JAVA & BALI
KOTA BANJAR BARU,KALIMANTAN
KOTA BANJARMASIN,KALIMANTAN
KOTA BARU,KALIMANTAN
KOTA BATAM,SUMATRA
KOTA BATU,JAVA & BALI
KOTA BAUBAU,SULAWESI
KOTA BEKASI,JAVA & BALI
KOTA BENGKULU,SUMATRA
KOTA BIMA,NUSA TENGGARA
KOTA BINJAI,SUMATRA
KOTA BITUNG,SULAWESI
KOTA BLITAR,JAVA & BALI
KOTA BOGOR,JAVA & BALI
KOTA BONTANG,KALIMANTAN
KOTA BUKITTINGGI,SUMATRA
KOTA CILEGON,JAVA & BALI
KOTA CIMAHI,JAVA & BALI
KOTA CIREBON,JAVA & BALI
KOTA DENPASAR,JAVA & BALI
KOTA DEPOK,JAVA & BALI
KOTA DUMAI,SUMATRA
KOTA GORONTALO,SULAWESI
KOTA GUNUNGSITOLI,SUMATRA
KOTA JAKARTA BARAT,JAVA & BALI
KOTA JAKARTA PUSAT,JAVA & BALI
KOTA JAKARTA SELATAN,JAVA & BALI
KOTA JAKARTA TIMUR,JAVA & BALI
KOTA JAKARTA UTARA,JAVA & BALI
KOTA JAMBI,SUMATRA
KOTA JAYAPURA,PAPUA
KOTA KEDIRI,JAVA & BALI
KOTA KENDARI,SULAWESI
KOTA KOTAMOBAGU,SULAWESI
KOTA KUPANG,NUSA TENGGARA
KOTA LANGSA,SUMATRA
KOTA LHOKSEUMAWE,SUMATRA
KOTA LUBUKLINGGAU,SUMATRA
KOTA MADIUN,JAVA & BALI
KOTA MAGELANG,JAVA & BALI
KOTA MAKASSAR,SULAWESI
KOTA MALANG,JAVA & BALI
KOTA MANADO,SULAWESI
KOTA MATARAM,NUSA TENGGARA
KOTA MEDAN,SUMATRA
KOTA METRO,SUMATRA
KOTA MOJOKERTO,JAVA & BALI
KOTA PADANG,SUMATRA
KOTA PADANG PANJANG,SUMATRA
KOTA PADANGSIDIMPUAN,SUMATRA
KOTA PAGAR ALAM,SUMATRA
KOTA PALANGKA RAYA,KALIMANTAN
KOTA PALEMBANG,SUMATRA
KOTA PALOPO,SULAWESI
KOTA PALU,SULAWESI
KOTA PANGKAL PINANG,SUMATRA
KOTA PAREPARE,SULAWESI
KOTA PARIAMAN,SUMATRA
KOTA PASURUAN,JAVA & BALI
KOTA PAYAKUMBUH,SUMATRA
KOTA PEKALONGAN,JAVA & BALI
KOTA PEKANBARU,SUMATRA
KOTA PEMATANG SIANTAR,SUMATRA
KOTA PONTIANAK,KALIMANTAN
KOTA PRABUMULIH,SUMATRA
KOTA PROBOLINGGO,JAVA & BALI
KOTA SABANG,SUMATRA
KOTA SALATIGA,JAVA & BALI
KOTA SAMARINDA,KALIMANTAN
KOTA SAWAH LUNTO,SUMATRA
KOTA SEMARANG,JAVA & BALI
KOTA SERANG,JAVA & BALI
KOTA SIBOLGA,SUMATRA
KOTA SINGKAWANG,KALIMANTAN
KOTA SOLOK,SUMATRA
KOTA SORONG,PAPUA
KOTA SUBULUSSALAM,SUMATRA
KOTA SUKABUMI,JAVA & BALI
KOTA SUNGAI PENUH,SUMATRA
KOTA SURABAYA,JAVA & BALI
KOTA SURAKARTA,JAVA & BALI
KOTA TANGERANG,JAVA & BALI
KOTA TANGERANG SELATAN,JAVA & BALI
KOTA TANJUNG BALAI,SUMATRA
KOTA TANJUNG PINANG,SUMATRA
KOTA TASIKMALAYA,JAVA & BALI
KOTA TEBING TINGGI,SUMATRA
KOTA TEGAL,JAVA & BALI
KOTA TERNATE,MALUKU
KOTA TIDORE KEPULAUAN,MALUKU
KOTA TOMOHON,SULAWESI
KOTA TUAL,MALUKU
KOTA YOGYAKARTA,JAVA & BALI
KOTAWARINGIN BARAT,KALIMANTAN
KOTAWARINGIN TIMUR,KALIMANTAN
KUANTAN SINGINGI,SUMATRA
KUBU RAYA,KALIMANTAN
KUDUS,JAVA & BALI
KULON PROGO,JAVA & BALI
KUNINGAN,JAVA & BALI
KUPANG,NUSA TENGGARA
KUTAI BARAT,KALIMANTAN
KUTAI KARTANEGARA,KALIMANTAN
KUTAI TIMUR,KALIMANTAN
LABUHAN BATU,SUMATRA
LABUHAN BATU SELATAN,SUMATRA
LABUHAN BATU UTARA,SUMATRA
LAHAT,SUMATRA
LAMANDAU,KALIMANTAN
LAMONGAN,JAVA & BALI
LAMPUNG BARAT,SUMATRA
LAMPUNG SELATAN,SUMATRA
LAMPUNG TENGAH,SUMATRA
LAMPUNG TIMUR,SUMATRA
LAMPUNG UTARA,SUMATRA
LANDAK,KALIMANTAN
LANGKAT,SUMATRA
LANNY JAYA,PAPUA
LEBAK,JAVA & BALI
LEBONG,SUMATRA
LEMBATA,NUSA TENGGARA
LIMA PULUH KOTA,SUMATRA
LINGGA,SUMATRA
LOMBOK BARAT,NUSA TENGGARA
LOMBOK TENGAH,NUSA TENGGARA
LOMBOK TIMUR,NUSA TENGGARA
LOMBOK UTARA,NUSA TENGGARA
LUMAJANG,JAVA & BALI
LUWU,SULAWESI
LUWU TIMUR,SULAWESI
LUWU UTARA,SULAWESI
MADIUN,JAVA & BALI
MAGELANG,JAVA & BALI
MAGETAN,JAVA & BALI
MAHAKAM HULU,KALIMANTAN
MAJALENGKA,JAVA & BALI
MAJENE,SULAWESI
MALAKA,NUSA TENGGARA
MALANG,JAVA & BALI
MALINAU,KALIMANTAN
MALUKU BARAT DAYA,MALUKU
MALUKU TENGAH,MALUKU
MALUKU TENGGARA,MALUKU
MALUKU TENGGARA BARAT,MALUKU
MAMASA,SULAWESI
MAMBERAMO RAYA,PAPUA
MAMBERAMO TENGAH,PAPUA
MAMUJU,SULAWESI
MAMUJU TENGAH,SULAWESI
MAMUJU UTARA,SULAWESI
MANDAILING NATAL,SUMATRA
MANGGARAI,NUSA TENGGARA
MANGGARAI BARAT,NUSA TENGGARA
MANGGARAI TIMUR,NUSA TENGGARA
MANOKWARI,PAPUA
MANOKWARI SELATAN,PAPUA
MAPPI,PAPUA
MAROS,SULAWESI
MAYBRAT,PAPUA
MELAWI,KALIMANTAN
MEMPAWAH,KALIMANTAN
MERANGIN,SUMATRA
MERAUKE,PAPUA
MESUJI,SUMATRA
MIMIKA,PAPUA
MINAHASA,SULAWESI
MINAHASA SELATAN,SULAWESI
MINAHASA TENGGARA,SULAWESI
MINAHASA UTARA,SULAWESI
MOJOKERTO,JAVA & BALI
MOROWALI,SULAWESI
MOROWALI UTARA,SULAWESI
MUARA ENIM,SUMATRA
MUARO JAMBI,SUMATRA
MUKOMUKO,SUMATRA
MUNA,SULAWESI
MUNA BARAT,SULAWESI
MURUNG RAYA,KALIMANTAN
MUSI BANYUASIN,SUMATRA
MUSI RAWAS,SUMATRA
MUSI RAWAS UTARA,SUMATRA
NABIRE,PAPUA
NAGAN RAYA,SUMATRA
NAGEKEO,NUSA TENGGARA
NATUNA,SUMATRA
NDUGA,PAPUA
NGADA,NUSA TENGGARA
NGANJUK,JAVA & BALI
NGAWI,JAVA & BALI
NIAS,SUMATRA
NIAS BARAT,SUMATRA
NIAS SELATAN,SUMATRA
NIAS UTARA,SUMATRA
NUNUKAN,KALIMANTAN
OGAN ILIR,SUMATRA
OGAN KOMERING ILIR,SUMATRA
OGAN KOMERING ULU,SUMATRA
OGAN KOMERING ULU SELATAN,SUMATRA
OGAN KOMERING ULU TIMUR,SUMATRA
PACITAN,JAVA & BALI
PADANG LAWAS,SUMATRA
PADANG LAWAS UTARA,SUMATRA
PADANG PARIAMAN,SUMATRA
PAKPAK BHARAT,SUMATRA
PAMEKASAN,JAVA & BALI
PANDEGLANG,JAVA & BALI
PANGANDARAN,JAVA & BALI
PANGKAJENE DAN KEPULAUAN,SULAWESI
PANIAI,PAPUA
PARIGI MOUTONG,SULAWESI
PASAMAN,SUMATRA
PASAMAN BARAT,SUMATRA
PASER,KALIMANTAN
PASURUAN,JAVA & BALI
PATI,JAVA & BALI
PEGUNUNGAN ARFAK,PAPUA
PEGUNUNGAN BINTANG,PAPUA
PEKALONGAN,JAVA & BALI
PELALAWAN,SUMATRA
PEMALANG,JAVA & BALI
PENAJAM PASER UTARA,KALIMANTAN
PENUKAL ABAB LEMATANG ILIR,SUMATRA
PESAWARAN,SUMATRA
PESISIR BARAT,SUMATRA
PESISIR SELATAN,SUMATRA
PIDIE,SUMATRA
PIDIE JAYA,SUMATRA
PINRANG,SULAWESI
POHUWATO,SULAWESI
POLEWALI MANDAR,SULAWESI
PONOROGO,JAVA & BALI
POSO,SULAWESI
PRINGSEWU,SUMATRA
PROBOLINGGO,JAVA & BALI
PULANG PISAU,KALIMANTAN
PULAU MOROTAI,MALUKU
PULAU TALIABU,MALUKU
PUNCAK,PAPUA
PUNCAK JAYA,PAPUA
PURBALINGGA,JAVA & BALI
PURWAKARTA,JAVA & BALI
PURWOREJO,JAVA & BALI
RAJA AMPAT,PAPUA
REJANG LEBONG,SUMATRA
REMBANG,JAVA & BALI
ROKAN HILIR,SUMATRA
ROKAN HULU,SUMATRA
ROTE NDAO,NUSA TENGGARA
SABU RAIJUA,NUSA TENGGARA
SAMBAS,KALIMANTAN
SAMOSIR,SUMATRA
SAMPANG,JAVA & BALI
SANGGAU,KALIMANTAN
SARMI,PAPUA
SAROLANGUN,SUMATRA
SEKADAU,KALIMANTAN
SELUMA,SUMATRA
SEMARANG,JAVA & BALI
SERAM BAGIAN BARAT,MALUKU
SERAM BAGIAN TIMUR,MALUKU
SERANG,JAVA & BALI
SERDANG BEDAGAI,SUMATRA
SERUYAN,KALIMANTAN
SIAK,SUMATRA
SIAU TAGULANDANG BIARO,SULAWESI
SIDENRENG RAPPANG,SULAWESI
SIDOARJO,JAVA & BALI
SIGI,SULAWESI
SIJUNJUNG,SUMATRA
SIKKA,NUSA TENGGARA
SIMALUNGUN,SUMATRA
SIMEULUE,SUMATRA
SINJAI,SULAWESI
SINTANG,KALIMANTAN
SITUBONDO,JAVA & BALI
SLEMAN,JAVA & BALI
SOLOK,SUMATRA
SOLOK SELATAN,SUMATRA
SOPPENG,SULAWESI
SORONG,PAPUA
SORONG SELATAN,PAPUA
SRAGEN,JAVA & BALI
SUBANG,JAVA & BALI
SUKABUMI,JAVA & BALI
SUKAMARA,KALIMANTAN
SUKOHARJO,JAVA & BALI
SUMBA BARAT,NUSA TENGGARA
SUMBA BARAT DAYA,NUSA TENGGARA
SUMBA TENGAH,NUSA TENGGARA
SUMBA TIMUR,NUSA TENGGARA
SUMBAWA,NUSA TENGGARA
SUMBAWA BARAT,NUSA TENGGARA
SUMEDANG,JAVA & BALI
SUMENEP,JAVA & BALI
SUPIORI,PAPUA
TABALONG,KALIMANTAN
TABANAN,JAVA & BALI
TAKALAR,SULAWESI
TAMBRAUW,PAPUA
TANA TIDUNG,KALIMANTAN
TANA TORAJA,SULAWESI
TANAH BUMBU,KALIMANTAN
TANAH DATAR,SUMATRA
TANAH LAUT,KALIMANTAN
TANGERANG,JAVA & BALI
TANGGAMUS,SUMATRA
TANJUNG JABUNG BARAT,SUMATRA
TANJUNG JABUNG TIMUR,SUMATRA
TAPANULI SELATAN,SUMATRA
TAPANULI TENGAH,SUMATRA
TAPANULI UTARA,SUMATRA
TAPIN,KALIMANTAN
TASIKMALAYA,JAVA & BALI
TEBO,SUMATRA
TEGAL,JAVA & BALI
TELUK BINTUNI,PAPUA
TELUK WONDAMA,PAPUA
TEMANGGUNG,JAVA & BALI
TIMOR TENGAH SELATAN,NUSA TENGGARA
TIMOR TENGAH UTARA,NUSA TENGGARA
TOBA SAMOSIR,SUMATRA
TOJO UNA-UNA,SULAWESI
TOLI-TOLI,SULAWESI
TOLIKARA,PAPUA
TORAJA UTARA,SULAWESI
TRENGGALEK,JAVA & BALI
TUBAN,JAVA & BALI
TULANG BAWANG BARAT,SUMATRA
TULANGBAWANG,SUMATRA
TULUNGAGUNG,JAVA & BALI
WAJO,SULAWESI
WAKATOBI,SULAWESI
WAROPEN,PAPUA
WAY KANAN,SUMATRA
WONOGIRI,JAVA & BALI
WONOSOBO,JAVA & BALI
YAHUKIMO,PAPUA
YALIMO,PAPUA
